ID,Date,Mean,Mean_Ave,Max,Max_Ave,Min,Min_Ave,Pre,Pre_Ave
1,2016/1/1,4.7,5,12.1,10.2,-1,0.5,0,1
2,2016/1/2,7.7,5,14.8,10.1,1,0.4,0,1
3,2016/1/3,9.4,4.9,15.6,10,4,0.3,0,1.1
4,2016/1/4,9.6,4.8,16.4,9.9,3.7,0.3,0,1.1
5,2016/1/5,6.4,4.8,11.5,9.8,2.3,0.2,0.5,1.1
6,2016/1/6,7.4,4.7,11.2,9.8,3.8,0.2,0,1.2
7,2016/1/7,7.7,4.7,12.4,9.7,3.6,0.2,0,1.2
8,2016/1/8,5.8,4.7,11.7,9.7,1.8,0.2,0,1.2
9,2016/1/9,5.5,4.6,10.9,9.6,0.3,0.1,0,1.2
10,2016/1/10,5.4,4.6,12.8,9.6,-0.2,0.1,0,1.2
11,2016/1/11,6.2,4.6,11.8,9.5,0.7,0.1,0,1.2
12,2016/1/12,6.5,4.5,11.1,9.5,2.1,0.1,0,1.2
13,2016/1/13,4.7,4.5,10.5,9.4,-0.4,0.1,0,1.3
14,2016/1/14,3.5,4.4,10.4,9.4,-1.9,0,0,1.3
15,2016/1/15,2.8,4.4,7.9,9.3,-0.9,0,0,1.3
16,2016/1/16,2.7,4.3,9.6,9.3,-3,0,0,1.3
17,2016/1/17,4.1,4.3,8.1,9.2,-0.2,-0.1,6,1.3
18,2016/1/18,6.8,4.2,12.5,9.2,1,-0.2,8.5,1.3
19,2016/1/19,1.3,4.1,5.1,9.1,-0.8,-0.2,0,1.3
20,2016/1/20,2.7,4.1,8.2,9.1,-1.1,-0.3,0,1.2
21,2016/1/21,3.9,4,7.9,9,-0.4,-0.4,0,1.2
22,2016/1/22,5.5,4,10,9,1.6,-0.4,0,1.2
23,2016/1/23,3.4,3.9,7.9,9,0.1,-0.5,0,1.2
24,2016/1/24,-2.4,3.8,0.6,8.9,-4.7,-0.6,0.5,1.1
25,2016/1/25,-0.8,3.8,5.9,8.9,-8.1,-0.6,1.5,1.1
26,2016/1/26,4.2,3.8,8.4,8.9,-0.9,-0.7,0,1.1
27,2016/1/27,6.1,3.7,11.6,8.9,0.6,-0.8,0,1
28,2016/1/28,5.9,3.7,10.8,8.9,0.3,-0.8,5.5,1
29,2016/1/29,7.8,3.7,8.8,8.9,6.8,-0.8,26,1
30,2016/1/30,7.8,3.7,10.5,9,3.5,-0.8,3.5,1
31,2016/1/31,5.5,3.8,10.3,9,0.3,-0.8,0,1
32,2016/2/1,6.8,3.8,10.6,9,4.2,-0.8,0,1
33,2016/2/2,5.2,3.8,9,9.1,0.7,-0.8,0,1
34,2016/2/3,4.2,3.9,9.8,9.2,-1.1,-0.7,0,1
35,2016/2/4,4.8,4,11,9.3,-1.3,-0.7,0,1
36,2016/2/5,4.7,4.1,10.9,9.4,-0.3,-0.6,0,1.1
37,2016/2/6,3.5,4.2,8.5,9.5,-0.1,-0.5,0,1.1
38,2016/2/7,2.5,4.3,7.8,9.6,-1.5,-0.4,0,1.1
39,2016/2/8,4.1,4.4,10.2,9.8,-2.5,-0.3,0,1.2
